wl,n,k
1.736,1.441712173,0
1.797,1.440913367,0
1.861,1.440050939,0
1.926,1.439148066,0
1.994,1.438172943,0
2.064,1.43713496,0
2.137,1.436013962,0
2.212,1.434819618,0
2.29,1.433529881,0
2.371,1.432137211,0
2.454,1.430651699,0
2.541,1.429028728,0
2.63,1.427296094,0
2.723,1.425404433,0
2.819,1.423361368,0
2.918,1.421154416,0
3.021,1.418745952,0
3.128,1.416117293,0
3.238,1.413274157,0
3.352,1.410169683,0
3.47,1.406778215,0
3.592,1.403070896,0
3.719,1.398982,0
3.85,1.394503572,0
3.986,1.389555342,0
4.126,1.384120806,0
4.271,1.378099774,0
4.422,1.371370131,0
4.578,1.363881434,0
4.739,1.355526219,0
4.906,1.346117123,0
5.079,1.335482357,0
5.258,1.323410544,0
5.443,1.3096384,0
5.635,1.293746028,0
5.833,1.275372396,0
6.039,1.253728956,0
6.252,1.228088835,0
6.472,1.197325672,0
6.67646,1.1508,0.00908667
6.70268,1.14834,0.008762
6.72911,1.14346,0.008886
6.7558,1.13845,0.009026
6.78265,1.13329,0.009178
6.80972,1.12795,0.009336
6.837,1.12243,0.009494
6.8645,1.1167,0.009644
6.89227,1.11072,0.009792
6.92022,1.10446,0.00992
6.9484,1.09786,0.010032
6.97681,1.09084,0.010122
7.0055,1.08332,0.01017
7.03438,1.07511,0.01013
7.06349,1.0673,0.010302
7.09285,1.05878,0.012312
7.12246,1.0553,0.013046
7.15236,1.04809,0.015416
7.18246,1.03858,0.016764
7.21282,1.02741,0.018256
7.24344,1.00897,0.009782
7.27437,1.00142,0.009324
7.30551,0.992634,0.011236
7.33692,0.974654,0.016092
7.3686,0.96154,0.014216
7.40056,0.945714,0.01389
7.43284,0.931074,0.014534
7.46536,0.915152,0.015372
7.49816,0.90032,0.017514
7.53125,0.88187,0.020364
7.5647,0.864498,0.018986
7.59838,0.837868,0.017916
7.63236,0.810452,0.01848
7.66665,0.779118,0.02276
7.70125,0.747716,0.030112
7.73623,0.712412,0.039032
7.77146,0.673548,0.050538
7.80701,0.628036,0.06519
7.84289,0.575994,0.087554
7.87917,0.519022,0.12455
7.91571,0.465088,0.179224
7.9526,0.423782,0.24887
7.98984,0.39963,0.325374
8.02742,0.391846,0.400422
8.06543,0.39461,0.468372
8.10373,0.402996,0.53014
8.14239,0.415414,0.586132
8.18143,0.429626,0.63592
8.22091,0.44294,0.68142
8.26071,0.455746,0.724154
8.30089,0.46706,0.76326
8.34147,0.473698,0.801606
8.38244,0.478372,0.842012
8.42389,0.481296,0.88309
8.46568,0.480354,0.92619
8.50789,0.477064,0.97485
8.55052,0.472866,1.0268
8.59365,0.463788,1.08441
8.63715,0.45171,1.15298
8.68108,0.439312,1.23297
8.72547,0.423274,1.32843
8.77031,0.409936,1.45221
8.8157,0.413746,1.60605
8.86148,0.442972,1.79113
8.90773,0.521778,2.01442
8.95448,0.687592,2.2473
9.00179,0.93926,2.43894
9.04953,1.25118,2.55617
9.09777,1.58421,2.57718
9.14654,1.89158,2.51357
9.19582,2.15575,2.40208
9.24573,2.3871,2.25244
9.2961,2.57137,2.07422
9.34702,2.71634,1.89489
9.3985,2.84044,1.70239
9.45063,2.92782,1.49574
9.50326,2.97555,1.29742
9.55648,3.00438,1.09952
9.6103,2.99775,0.903418
9.66482,2.96065,0.727454
9.71987,2.90733,0.564712
9.77555,2.8239,0.417
