wl,n,k
0.53,0.0525,3.32E+00
0.54,0.0528,3.40E+00
0.55,0.0533,3.48E+00
0.56,0.0538,3.57E+00
0.57,0.0543,3.65E+00
0.58,0.0549,3.73E+00
0.59,0.0556,3.81E+00
0.6,0.0563,3.89E+00
0.61,0.0571,3.97E+00
0.62,0.0579,4.05E+00
0.63,0.0588,4.13E+00
0.64,0.0597,4.21E+00
0.65,0.0606,4.28E+00
0.66,0.0616,4.36E+00
0.67,0.0626,4.44E+00
0.68,0.0637,4.52E+00
0.69,0.0648,4.59E+00
0.7,0.0659,4.67E+00
0.71,0.0671,4.75E+00
0.72,0.0683,4.82E+00
0.73,0.0695,4.90E+00
0.74,0.0708,4.98E+00
0.75,0.0721,5.05E+00
0.76,0.0734,5.13E+00
0.77,0.0748,5.20E+00
0.78,0.0762,5.28E+00
0.79,0.0776,5.35E+00
0.8,0.0791,5.43E+00
0.81,0.0806,5.50E+00
0.82,0.0821,5.58E+00
0.83,0.0836,5.65E+00
0.84,0.0852,5.73E+00
0.85,0.0868,5.80E+00
0.86,0.0884,5.88E+00
0.87,0.0901,5.95E+00
0.88,0.0917,6.03E+00
0.89,0.0935,6.10E+00
0.9,0.0952,6.17E+00
0.91,0.0969,6.25E+00
0.92,0.0987,6.32E+00
0.93,0.101,6.40E+00
0.94,0.102,6.47E+00
0.95,0.104,6.54E+00
0.96,0.106,6.62E+00
0.97,0.108,6.69E+00
0.98,0.11,6.77E+00
0.99,0.112,6.84E+00
1,0.114,6.91E+00
1.01,0.116,6.99E+00
1.02,0.118,7.06E+00
1.03,0.12,7.13E+00
1.04,0.122,7.21E+00
1.05,0.124,7.28E+00
1.06,0.126,7.35E+00
1.07,0.129,7.43E+00
1.08,0.131,7.50E+00
1.09,0.133,7.57E+00
1.1,0.135,7.65E+00
1.11,0.137,7.72E+00
1.12,0.14,7.79E+00
1.13,0.142,7.86E+00
1.14,0.144,7.94E+00
1.15,0.147,8.01E+00
1.16,0.149,8.08E+00
1.17,0.151,8.16E+00
1.18,0.154,8.23E+00
1.19,0.156,8.30E+00
1.2,0.159,8.37E+00
1.21,0.161,8.45E+00
1.22,0.164,8.52E+00
1.23,0.166,8.59E+00
1.24,0.169,8.66E+00
1.25,0.171,8.74E+00
1.26,0.174,8.81E+00
1.27,0.176,8.87E+00
1.27,0.176,8.88E+00
1.28,0.179,8.94E+00
1.28,0.179,8.95E+00
1.29,0.181,9.02E+00
1.29,0.182,9.03E+00
1.3,0.184,9.09E+00
1.3,0.184,9.10E+00
1.31,0.187,9.17E+00
1.31,0.187,9.17E+00
1.32,0.19,9.24E+00
1.32,0.19,9.24E+00
1.33,0.192,9.30E+00
1.33,0.192,9.32E+00
1.34,0.195,9.38E+00
1.34,0.195,9.39E+00
1.35,0.197,9.44E+00
1.35,0.198,9.46E+00
1.36,0.2,9.52E+00
1.37,0.203,9.59E+00
1.38,0.206,9.67E+00
1.39,0.209,9.73E+00
1.4,0.212,9.82E+00
1.41,0.215,9.89E+00
1.42,0.218,9.95E+00
1.43,0.22,1.00E+01
1.43,0.221,1.00E+01
1.44,0.223,1.01E+01
1.44,0.224,1.01E+01
1.45,0.227,1.02E+01
1.45,0.227,1.02E+01
1.46,0.23,1.03E+01
1.46,0.23,1.03E+01
1.47,0.233,1.03E+01
1.47,0.233,1.03E+01
1.48,0.236,1.04E+01
1.48,0.236,1.04E+01
1.49,0.239,1.05E+01
1.49,0.239,1.05E+01
1.5,0.241,1.05E+01
1.5,0.242,1.05E+01
1.51,0.245,1.06E+01
1.51,0.246,1.06E+01
1.52,0.248,1.07E+01
1.52,0.249,1.07E+01
1.53,0.251,1.08E+01
1.53,0.252,1.08E+01
1.54,0.255,1.08E+01
1.54,0.255,1.08E+01
1.55,0.257,1.09E+01
1.55,0.258,1.09E+01
1.56,0.261,1.10E+01
1.56,0.262,1.10E+01
1.57,0.265,1.10E+01
1.57,0.265,1.11E+01
1.58,0.267,1.11E+01
1.58,0.268,1.11E+01
1.59,0.271,1.12E+01
1.59,0.271,1.12E+01
1.6,0.273,1.12E+01
1.6,0.275,1.13E+01
1.61,0.277,1.13E+01
1.61,0.278,1.13E+01
1.62,0.28,1.14E+01
1.62,0.281,1.14E+01
1.63,0.284,1.15E+01
1.63,0.285,1.15E+01
1.64,0.287,1.15E+01
1.64,0.288,1.16E+01
1.65,0.291,1.16E+01
1.65,0.292,1.16E+01
1.66,0.294,1.17E+01
1.66,0.295,1.17E+01
1.67,0.297,1.17E+01
1.67,0.299,1.18E+01
1.68,0.302,1.18E+01
1.68,0.302,1.18E+01
1.69,0.305,1.19E+01
1.69,0.306,1.19E+01
1.7,0.308,1.20E+01
1.7,0.309,1.20E+01
1.71,0.311,1.20E+01
1.71,0.313,1.21E+01
1.72,0.316,1.21E+01
1.72,0.316,1.21E+01
1.73,0.319,1.22E+01
1.73,0.32,1.22E+01
1.74,0.323,1.23E+01
1.74,0.324,1.23E+01
1.75,0.326,1.23E+01
1.75,0.327,1.23E+01
1.76,0.33,1.24E+01
1.76,0.331,1.24E+01
1.77,0.333,1.25E+01
1.77,0.335,1.25E+01
1.78,0.337,1.25E+01
1.78,0.338,1.26E+01
1.79,0.34,1.26E+01
1.79,0.342,1.26E+01
1.8,0.344,1.27E+01
1.8,0.346,1.27E+01
1.81,0.348,1.27E+01
1.81,0.349,1.28E+01
1.82,0.352,1.28E+01
1.82,0.353,1.28E+01
1.83,0.355,1.29E+01
1.83,0.357,1.29E+01
1.84,0.359,1.30E+01
1.84,0.361,1.30E+01
1.85,0.363,1.30E+01
1.85,0.365,1.31E+01
1.86,0.368,1.31E+01
1.86,0.369,1.31E+01
1.87,0.372,1.32E+01
1.87,0.373,1.32E+01
1.88,0.376,1.33E+01
1.88,0.376,1.33E+01
1.89,0.38,1.33E+01
1.89,0.38,1.33E+01
1.9,0.382,1.34E+01
1.9,0.384,1.34E+01
1.91,0.387,1.35E+01
1.91,0.388,1.35E+01
1.92,0.391,1.35E+01
1.92,0.392,1.36E+01
1.93,0.396,1.36E+01
1.93,0.396,1.36E+01
1.93,0.398,1.37E+01
1.94,0.4,1.37E+01
1.95,0.403,1.38E+01
1.95,0.405,1.38E+01
1.96,0.408,1.38E+01
1.96,0.409,1.38E+01
1.97,0.413,1.39E+01
1.97,0.413,1.39E+01
1.98,0.415,1.40E+01
1.98,0.417,1.40E+01
1.99,0.42,1.41E+01
1.99,0.421,1.41E+01
1.99,0.423,1.41E+01
2,0.425,1.41E+01
2.01,0.428,1.42E+01
2.02,0.433,1.43E+01
2.03,0.436,1.43E+01
2.04,0.441,1.44E+01
2.04,0.444,1.45E+01
2.06,0.45,1.45E+01
2.06,0.452,1.46E+01
2.08,0.458,1.47E+01
2.08,0.461,1.47E+01
2.1,0.467,1.48E+01
2.1,0.47,1.49E+01
2.12,0.476,1.50E+01
2.13,0.479,1.50E+01
2.14,0.485,1.51E+01
2.15,0.489,1.52E+01
2.15,0.492,1.52E+01
2.17,0.498,1.53E+01
2.18,0.502,1.54E+01
2.19,0.508,1.55E+01
2.2,0.512,1.55E+01
2.2,0.515,1.56E+01
2.22,0.522,1.57E+01
2.23,0.526,1.58E+01
2.24,0.529,1.58E+01
2.24,0.533,1.59E+01
2.26,0.54,1.60E+01
2.27,0.544,1.60E+01
2.27,0.548,1.61E+01
2.28,0.552,1.61E+01
2.3,0.559,1.63E+01
2.31,0.563,1.63E+01
2.31,0.567,1.64E+01
2.32,0.571,1.64E+01
2.34,0.579,1.66E+01
2.35,0.584,1.66E+01
2.36,0.588,1.67E+01
2.37,0.592,1.67E+01
2.37,0.596,1.68E+01
2.38,0.601,1.69E+01
2.39,0.605,1.69E+01
2.41,0.614,1.71E+01
2.42,0.619,1.71E+01
2.43,0.623,1.72E+01
2.44,0.628,1.72E+01
2.45,0.632,1.73E+01
2.46,0.637,1.74E+01
2.46,0.642,1.74E+01
2.47,0.647,1.75E+01
2.48,0.652,1.76E+01
2.49,0.657,1.77E+01
2.5,0.662,1.77E+01
2.51,0.667,1.78E+01
2.52,0.672,1.79E+01
2.53,0.677,1.79E+01
2.54,0.682,1.80E+01
2.55,0.688,1.81E+01
2.56,0.693,1.81E+01
2.57,0.699,1.82E+01
2.58,0.704,1.83E+01
2.59,0.71,1.84E+01
2.6,0.715,1.84E+01
2.61,0.721,1.85E+01
2.62,0.727,1.86E+01
2.63,0.733,1.87E+01
2.65,0.739,1.87E+01
2.66,0.745,1.88E+01
2.67,0.751,1.89E+01
2.68,0.757,1.90E+01
2.69,0.763,1.90E+01
2.7,0.77,1.91E+01
2.71,0.776,1.92E+01
2.72,0.782,1.93E+01
2.73,0.789,1.94E+01
2.75,0.796,1.95E+01
2.76,0.802,1.95E+01
2.77,0.809,1.96E+01
2.78,0.816,1.97E+01
2.79,0.823,1.98E+01
2.81,0.83,1.99E+01
2.82,0.837,2.00E+01
2.83,0.844,2.00E+01
2.84,0.852,2.01E+01
2.86,0.859,2.02E+01
2.87,0.867,2.03E+01
2.88,0.874,2.04E+01
2.89,0.882,2.05E+01
2.91,0.89,2.06E+01
2.92,0.898,2.07E+01
2.93,0.906,2.08E+01
2.95,0.914,2.09E+01
2.96,0.923,2.10E+01
2.97,0.931,2.11E+01
2.99,0.939,2.12E+01
3,0.948,2.13E+01
3.01,0.957,2.14E+01
3.03,0.966,2.15E+01
3.04,0.975,2.16E+01
3.06,0.984,2.17E+01
3.07,0.993,2.18E+01
3.09,1,2.19E+01
3.1,1.01,2.20E+01
3.12,1.02,2.21E+01
3.13,1.03,2.22E+01
3.15,1.04,2.23E+01
3.16,1.05,2.24E+01
3.18,1.06,2.25E+01
3.19,1.07,2.26E+01
3.21,1.08,2.27E+01
3.22,1.09,2.28E+01
3.24,1.1,2.30E+01
3.26,1.12,2.31E+01
3.27,1.13,2.32E+01
3.29,1.14,2.33E+01
3.31,1.15,2.34E+01
3.32,1.16,2.35E+01
3.34,1.17,2.37E+01
3.36,1.19,2.38E+01
3.38,1.2,2.39E+01
3.39,1.21,2.40E+01
3.41,1.22,2.42E+01
3.43,1.24,2.43E+01
3.45,1.25,2.44E+01
3.47,1.26,2.45E+01
3.48,1.27,2.46E+01
3.5,1.29,2.48E+01
3.52,1.3,2.49E+01
3.54,1.32,2.51E+01
3.56,1.33,2.52E+01
3.58,1.35,2.54E+01
3.6,1.36,2.55E+01
3.62,1.38,2.56E+01
3.64,1.39,2.58E+01
3.66,1.41,2.59E+01
3.68,1.42,2.61E+01
3.7,1.44,2.62E+01
3.72,1.46,2.64E+01
3.75,1.47,2.65E+01
3.77,1.49,2.67E+01
3.79,1.51,2.68E+01
3.81,1.52,2.70E+01
3.83,1.54,2.71E+01
3.86,1.56,2.73E+01
3.88,1.58,2.75E+01
3.9,1.6,2.76E+01
3.93,1.62,2.78E+01
3.95,1.64,2.80E+01
3.98,1.66,2.81E+01
4,1.68,2.83E+01
4.03,1.7,2.85E+01
4.05,1.72,2.87E+01
4.08,1.74,2.88E+01
4.1,1.76,2.90E+01
4.13,1.78,2.92E+01
4.15,1.8,2.94E+01
4.18,1.83,2.96E+01
4.21,1.85,2.98E+01
4.24,1.88,3.00E+01
4.26,1.9,3.02E+01
4.29,1.93,3.04E+01
4.32,1.95,3.06E+01
4.35,1.98,3.08E+01
4.38,2,3.10E+01
4.41,2.03,3.12E+01
4.44,2.06,3.14E+01
4.47,2.09,3.16E+01
4.5,2.12,3.18E+01
4.53,2.15,3.20E+01
4.56,2.18,3.23E+01
4.6,2.21,3.25E+01
4.63,2.24,3.27E+01
4.66,2.27,3.30E+01
4.7,2.3,3.32E+01
4.73,2.33,3.34E+01
4.77,2.37,3.37E+01
4.8,2.4,3.39E+01
4.84,2.44,3.42E+01
4.87,2.47,3.44E+01
4.91,2.51,3.47E+01
4.95,2.55,3.49E+01
4.99,2.59,3.52E+01
5.02,2.63,3.55E+01
5.06,2.67,3.57E+01
5.1,2.71,3.60E+01
5.14,2.75,3.63E+01
5.18,2.8,3.66E+01
5.23,2.84,3.69E+01
5.27,2.89,3.72E+01
5.31,2.93,3.75E+01
5.36,2.98,3.78E+01
5.4,3.03,3.81E+01
5.45,3.08,3.84E+01
5.49,3.13,3.87E+01
5.54,3.19,3.91E+01
5.59,3.24,3.94E+01
5.64,3.29,3.97E+01
5.68,3.35,4.01E+01
5.74,3.41,4.04E+01
5.79,3.47,4.08E+01
5.84,3.53,4.11E+01
5.89,3.6,4.15E+01
5.95,3.66,4.19E+01
6,3.73,4.22E+01
6.06,3.8,4.26E+01
6.11,3.87,4.30E+01
6.17,3.94,4.34E+01
6.23,4.01,4.38E+01
6.29,4.09,4.42E+01
6.35,4.17,4.47E+01
6.42,4.25,4.51E+01
6.48,4.33,4.55E+01
6.55,4.42,4.60E+01
6.61,4.51,4.64E+01
6.68,4.6,4.69E+01
6.75,4.69,4.74E+01
6.82,4.79,4.79E+01
6.89,4.89,4.84E+01
6.97,4.99,4.89E+01
7.04,5.1,4.94E+01
7.12,5.21,4.99E+01
7.2,5.32,5.04E+01
7.28,5.44,5.10E+01
7.36,5.56,5.16E+01
7.45,5.68,5.21E+01
7.54,5.81,5.27E+01
7.62,5.94,5.33E+01
7.72,6.08,5.39E+01
7.81,6.23,5.45E+01
7.9,6.37,5.52E+01
8,6.53,5.58E+01
8.1,6.68,5.65E+01
8.2,6.85,5.72E+01
8.31,7.02,5.79E+01
8.42,7.2,5.86E+01
8.53,7.38,5.94E+01
8.64,7.57,6.01E+01
8.76,7.77,6.09E+01
8.88,7.97,6.17E+01
9,8.19,6.25E+01
9.13,8.41,6.33E+01
9.26,8.64,6.42E+01
9.39,8.88,6.51E+01
9.53,9.13,6.60E+01
9.67,9.39,6.69E+01
9.82,9.67,6.79E+01
9.97,9.95,6.89E+01
10.1,10.3,6.99E+01
10.3,10.6,7.09E+01
10.5,10.9,7.20E+01
10.6,11.2,7.31E+01
10.8,11.6,7.42E+01
11,12,7.54E+01
11.2,12.3,7.66E+01
11.4,12.8,7.78E+01
11.6,13.2,7.91E+01
11.8,13.6,8.04E+01
12,14.1,8.18E+01
12.2,14.6,8.32E+01
12.5,15.1,8.47E+01
12.7,15.7,8.62E+01
13,16.3,8.77E+01
13.2,16.9,8.94E+01
13.5,17.5,9.10E+01
13.8,18.2,9.28E+01
14.1,18.9,9.46E+01
14.4,19.7,9.64E+01
14.7,20.5,9.84E+01
15.1,21.4,1.00E+02
15.4,22.3,1.03E+02
15.8,23.3,1.05E+02
16.2,24.3,1.07E+02
16.6,25.4,1.09E+02
17.1,26.6,1.12E+02
17.5,27.9,1.14E+02
18,29.2,1.17E+02
18.5,30.7,1.20E+02
19.1,32.2,1.23E+02
19.6,33.9,1.26E+02
20.3,35.7,1.29E+02
20.9,37.6,1.32E+02
21.6,39.7,1.36E+02
22.4,41.9,1.39E+02
23.1,44.3,1.43E+02
24,46.9,1.47E+02
24.9,49.8,1.51E+02
